ticker,combined,fundamental,research_pts,grade
GVT&D,97.1,97.1,0,A+
CUPID,89.9,89.9,0,A
GARUDA,88.4,88.4,0,A
SAILIFE,88.4,88.4,0,A
MANORAMA,87.0,87.0,0,A
SKYGOLD,82.8,76.8,6,B
COFORGE,81.2,81.2,0,A
WAAREEENER,81.2,81.2,0,A
CEINSYS,79.8,76.8,3,B
NYKAA,79.7,79.7,0,B
RUBICON,79.7,79.7,0,B
SAGILITY,79.7,79.7,0,B
KALYANKJIL,76.9,73.9,3,B
OMNI,76.8,76.8,0,B
IKS,75.4,75.4,0,B
GANESHIN,73.9,73.9,0,B
PREMIERENE,73.9,73.9,0,B
SHADOWFAX,73.9,73.9,0,B
GENUSPOWER,72.5,72.5,0,B
KPEL,72.5,72.5,0,B
ALPEXSOLAR,70.5,72.5,-2,B
KPGREEN,69.6,69.6,0,C
BELRISE,66.7,66.7,0,C
DOMS,66.7,66.7,0,C
HEXT,65.2,65.2,0,C
SHILCTECH,65.2,65.2,0,C
AZAD,63.8,63.8,0,C
ANANTRAJ,62.3,62.3,0,C
KODYTECH,62.3,62.3,0,C
UNIECOM,62.3,62.3,0,C
HSCL,60.9,60.9,0,C
ANNAPURNA,55.5,56.5,-1,D
ZAGGLE,55.0,58.0,-3,D
TRITURBINE,53.6,53.6,0,D
KAYNES,52.2,52.2,0,D
PGEL,51.4,46.4,5,D
SYMPHONY,47.8,47.8,0,D
