ticker,combined,fundamental,avg_factor,adj_applied,factors,grade
GVT&D,105.5,97.1,2.53,8.4,15,A+
CUPID,98.7,92.8,1.77,5.9,22,A+
SAILIFE,95.4,88.4,2.09,7.0,11,A
MANORAMA,94.4,87.0,2.21,7.4,19,A
COFORGE,90.8,81.2,2.88,9.6,16,A
WAAREEENER,89.0,81.2,2.35,7.8,23,A
NYKAA,88.5,79.7,2.63,8.8,19,B
SKYGOLD,87.9,79.7,2.45,8.2,20,B
BELRISE,87.1,78.3,2.64,8.8,14,B
HSCL,85.8,76.8,2.71,9.0,14,B
GARUDA,85.5,85.5,0,0.0,0,A
SAGILITY,84.8,76.8,2.4,8.0,20,B
OMNI,84.4,76.8,2.29,7.6,21,B
RUBICON,83.6,75.4,2.47,8.2,19,B
PREMIERENE,82.5,73.9,2.57,8.6,14,B
SHADOWFAX,82.4,73.9,2.55,8.5,22,B
IKS,80.4,72.5,2.38,7.9,16,B
CEINSYS,80.0,73.9,1.82,6.1,22,B
KPEL,79.5,72.5,2.11,7.0,19,B
GANESHIN,78.6,73.9,1.4,4.7,5,B
ALPEXSOLAR,78.5,69.6,2.67,8.9,15,C
GENUSPOWER,78.4,72.5,1.76,5.9,17,B
KALYANKJIL,77.3,71.0,1.88,6.3,17,B
KPGREEN,76.8,69.6,2.15,7.2,20,C
AZAD,76.0,66.7,2.78,9.3,18,C
SHILCTECH,75.8,68.1,2.3,7.7,20,C
KODYTECH,75.7,68.1,2.27,7.6,15,C
HEXT,70.2,65.2,1.5,5.0,4,C
UNIECOM,70.1,62.3,2.35,7.8,20,C
DOMS,66.7,66.7,0,0.0,0,C
ZAGGLE,65.4,58.0,2.23,7.4,22,D
TRITURBINE,60.1,53.6,1.95,6.5,20,D
ANANTRAJ,59.4,59.4,0,0.0,0,D
PGEL,52.3,49.3,0.9,3.0,20,D
KAYNES,52.2,52.2,0,0.0,0,D
ANNAPURNA,50.7,50.7,0,0.0,0,D
SYMPHONY,47.1,42.0,1.52,5.1,21,D
