date,ticker,total_score,max_score,pct,grade,revenue_growth_accel,revenue_growth,eps_growth,profit_growth,price_momentum_52w,roe,roce,opm,dividend_payout,ocf_growth,fcf_growth,fcf_to_profit,cfo_to_op,fii_buying,index_member,interest_coverage,net_margin,debt_to_equity_score,debt_to_equity,current_ratio,promoter_holding,promoter_pledge,price,fetch_ok
2026-06-04,GVT&D,67,69,97.1,A+,14.0,45.0,110.0,110.0,116.0,57.3,76.4,27.0,0.1,89.2,193.2,0.97,1.02,1.93,,112.3,19.9,0.01,0.01,1.45,51.0,0.0,5086.5,1
2026-06-04,HINDCOPPER,65,69,94.2,A+,27.0,49.0,115.0,115.0,115.3,32.9,42.5,54.0,0.27,171.0,632.4,1.13,1.01,-0.22,,292.4,29.9,0.03,0.03,1.79,66.14,0.0,541.4,1
2026-06-04,SHAILY,63,69,91.3,A+,8.0,26.0,83.0,83.0,63.1,26.9,29.3,28.0,0.07,105.5,5.1,0.24,0.81,4.72,,17.5,17.2,0.25,0.25,1.97,43.39,0.0,3067.4,1
2026-06-04,EICHERMOT,62,69,89.9,A,7.0,24.0,17.0,17.0,35.4,24.0,30.5,25.0,0.99,20.7,21.2,0.33,0.83,-0.24,,80.3,23.6,0.02,0.02,1.54,49.06,0.0,7110.0,1
2026-06-04,HINDZINC,62,69,89.9,A,14.0,20.0,33.0,33.0,34.0,76.8,69.6,57.0,1.81,20.1,-29.3,0.59,0.77,0.85,,25.0,33.9,0.39,0.39,0.41,60.71,0.0,603.85,1
2026-06-04,BLS,60,69,87.0,A,11.0,37.0,36.0,36.0,-34.9,32.7,29.3,25.0,0.74,8.9,257.6,0.63,1.1,-0.23,,35.6,24.1,0.17,0.17,1.94,70.39,0.0,263.35,1
2026-06-04,BSE,59,69,85.5,A,-24.0,50.0,79.0,79.0,44.2,44.8,58.0,67.0,0.25,649.8,205.8,0.15,1.01,1.97,,999.0,51.4,0.0,0.0,1.31,,0.0,4033.4,1
2026-06-04,SHRIAHIMSA,59,69,85.5,A,23.0,29.0,32.0,32.0,,16.7,21.7,28.0,0.0,633.3,407.7,1.38,1.22,-1.3,,36.0,23.6,0.1,0.1,30.8,68.4,0.0,,1
2026-06-04,KEI,57,69,82.6,A,2.0,21.0,32.0,32.0,46.1,14.8,20.1,11.0,0.09,2725.0,132.0,0.53,0.68,1.78,,19.2,7.8,0.04,0.04,3.07,35.0,0.0,5296.0,1
2026-06-04,NAVINFLUOR,57,69,82.6,A,24.0,41.0,132.0,132.0,60.5,20.3,21.4,34.0,0.21,56.6,-668.3,-0.51,0.83,0.04,,9.2,20.0,0.32,0.32,1.49,27.1,0.0,7090.5,1
2026-06-04,AFCOM,56,69,81.2,A,53.0,144.0,160.0,160.0,,36.0,33.5,38.0,0.0,33.3,-122.1,-1.4,0.15,0.97,,7.3,20.9,0.88,0.88,7.96,36.89,0.0,,1
2026-06-04,NATIONALUM,54,69,78.3,B,-2.0,6.0,10.0,10.0,136.8,29.4,39.6,47.0,2.53,10.9,22.0,0.39,0.81,2.6,,79.3,32.5,0.0,0.0,2.47,51.28,0.0,414.0,1
2026-06-04,VIKRAMSOLR,54,69,78.3,B,8.0,40.0,239.0,239.0,-39.8,21.5,30.5,16.0,0.0,110.7,-960.0,-2.38,0.69,1.12,,5.7,9.8,0.2,0.2,2.18,63.01,0.0,214.54,1
2026-06-04,LLOYDSME,53,69,76.8,B,83.0,155.0,156.0,156.0,18.4,36.6,27.3,42.0,0.06,142.0,-136.7,-1.71,0.47,0.37,,12.2,22.4,1.49,1.49,1.96,61.65,0.0,1775.5,1
2026-06-04,OMNI,53,69,76.8,B,7.0,49.0,81.0,81.0,147.9,18.0,17.6,33.0,0.0,97.1,-78.5,-3.25,-0.01,,,4.4,15.5,0.64,0.64,6.4,74.19,0.0,508.05,1
2026-06-04,DESCO,52,69,75.4,B,41.0,101.0,80.0,80.0,,25.2,30.2,19.0,0.0,-50.0,-76.9,-1.44,-0.75,0.0,,12.0,13.4,0.2,0.2,5.26,58.31,0.0,,1
2026-06-04,INOXINDIA,52,69,75.4,B,4.0,22.0,18.0,18.0,23.4,26.1,33.5,21.0,0.14,-4.1,136.8,0.03,0.34,-0.01,,38.1,16.3,0.07,0.07,1.58,75.0,0.0,1505.0,1
2026-06-04,KINGFA,52,69,75.4,B,2.0,14.0,21.0,21.0,62.9,17.4,23.2,14.0,0.0,275.0,66.7,0.16,0.23,0.02,,65.2,9.3,0.01,0.01,4.11,67.02,0.0,5370.0,1
2026-06-04,CRYOGENIC,51,69,73.9,B,1.0,24.0,52.0,52.0,,22.1,26.9,29.0,0.0,300.0,-1400.0,-1.3,0.73,-1.51,,999.0,24.4,0.15,0.15,11.75,74.29,0.0,,1
2026-06-04,FLYSBS,51,69,73.9,B,-47.0,64.0,114.0,114.0,,26.2,32.5,21.0,0.0,-100.0,22.2,-0.46,0.0,-0.14,,23.0,19.1,0.12,0.12,9.37,32.47,0.0,,1
2026-06-04,GRERENEW,51,69,73.9,B,14.0,47.0,93.0,93.0,,24.5,32.0,13.0,0.0,-54.5,-1100.0,-0.71,0.31,,,999.0,11.4,0.03,0.03,3.24,69.99,0.0,,1
2026-06-04,CGPOWER,50,69,72.5,B,4.0,25.0,30.0,30.0,36.2,20.8,27.0,14.0,0.14,-25.6,-872.1,-2.42,0.43,0.01,,135.4,9.7,0.01,0.01,2.07,56.36,0.0,937.9,1
2026-06-04,HARSHDEEP,50,69,72.5,B,,22.0,29.0,29.0,,23.3,29.5,31.0,0.0,-33.3,-500.0,-0.31,0.2,0.0,,999.0,18.8,0.07,0.07,3.76,72.96,0.0,,1
2026-06-04,DIFFNKG,49,69,71.0,B,4.0,21.0,54.0,54.0,3.6,13.1,16.4,15.0,0.48,155.6,-88.9,-0.34,0.4,0.27,,28.5,12.3,0.07,0.07,4.34,69.76,0.0,325.35,1
2026-06-04,LUMAXTECH,49,69,71.0,B,-4.0,34.0,65.0,65.0,71.5,26.8,21.4,14.0,0.31,9.4,362.5,0.22,0.44,0.38,,6.3,6.9,1.02,1.02,1.2,55.98,0.0,1691.9,1
