ticker,screener_symbol,name,sector
ALPEXSOLAR,,,
ANANTRAJ,,,
ANNAPURNA,,,
APTUS,,,
ATLANTAA,,,
ATLANTAELE,,,
AZAD,,,
BELRISE,,,
BONDADA,543971,,
CEINSYS,,,
CGPOWER,,,
COFORGE,,,
CUPID,,,
DOMS,,,
EMMVEE,,,
ENRIN,,,
GANESHIN,,,
GARUDA,,,
GENUSPOWER,,,
GVT&D,,,
HEXT,,,
HINDZINC,,,
HSCL,,,
IKS,,,
INOXINDIA,,,
JSWINFRA,,,
KALYANKJIL,,,
KAYNES,,,
KODYTECH,,,
KPEL,,,
KPGEL,544150,,
KSHINTL,,,
MANORAMA,,,
NYKAA,,,
OMNI,,,
ONEGLOBAL,514330,,
PGEL,,,
PREMIERENE,,,
RAAMA,538540,,
RUBICON,,,
SAGILITY,,,
SAILIFE,,,
SBIFUNDS,,,
SHADOWFAX,,,
SHILCTECH,,,
SKYGOLD,,,
SYMPHONY,,,
TRITURBINE,,,
UNIECOM,,,
VIDYAWIRES,,,
WAAREEENER,,,
ZAGGLE,,,
